Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
CRWD,227.96,2026-10-16,50,200.00,Put,5.85,175.00,Put,1.92,196.07,-13.99%,3.93,21.07,+18.65%,"5.36 to 1",52.49%,21.9%
CRWD,227.96,2026-10-16,50,200.00,Put,5.85,167.50,Put,1.33,195.48,-14.25%,4.52,27.98,+16.15%,"6.19 to 1",52.49%,21.4%
AVGO,371.54,2026-09-18,22,340.00,Put,6.5,300.00,Put,1.16,334.66,-9.93%,5.34,34.66,+15.41%,"6.49 to 1",51.15%,21.3%
AVGO,371.54,2026-09-18,22,340.00,Put,6.5,310.00,Put,1.83,335.33,-9.75%,4.67,25.33,+18.44%,"5.42 to 1",51.15%,21.8%
AVGO,371.54,2026-10-16,50,330.00,Put,8.5,290.00,Put,2.35,323.85,-12.84%,6.15,33.85,+18.17%,"5.50 to 1",51.15%,21.5%
AVGO,371.54,2026-10-16,50,320.00,Put,5.95,300.00,Put,3.25,317.3,-14.60%,2.7,17.3,+15.61%,"6.41 to 1",51.15%,18.2%
AVGO,371.54,2026-10-16,50,330.00,Put,8.5,300.00,Put,3.25,324.75,-12.59%,5.25,24.75,+21.21%,"4.71 to 1",51.15%,22.0%
HPQ,29.63,2026-10-16,50,26.00,Put,0.53,24.00,Put,0.25,25.72,-13.20%,0.28,1.72,+16.28%,"6.14 to 1",50.32%,20.0%
MRVL,241.45,2026-09-18,22,205.00,Put,4.5,185.00,Put,1.62,202.12,-16.29%,2.88,17.12,+16.82%,"5.94 to 1",50.07%,18.4%
MRVL,241.45,2026-10-16,50,200.00,Put,7.95,150.00,Put,1.1,193.15,-20.00%,6.85,43.15,+15.87%,"6.30 to 1",50.07%,20.7%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,160.00,Put,1.82,190.17,-21.24%,4.83,30.17,+16.01%,"6.25 to 1",50.07%,19.1%
MRVL,241.45,2026-10-16,50,200.00,Put,7.95,160.00,Put,1.82,193.87,-19.71%,6.13,33.87,+18.10%,"5.53 to 1",50.07%,21.1%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,165.00,Put,2.08,190.43,-21.13%,4.57,25.43,+17.97%,"5.56 to 1",50.07%,19.2%
MRVL,241.45,2026-10-16,50,200.00,Put,7.95,165.00,Put,2.08,194.13,-19.60%,5.87,29.13,+20.15%,"4.96 to 1",50.07%,21.2%
MRVL,241.45,2026-09-18,22,205.00,Put,4.5,200.00,Put,3.7,204.2,-15.43%,0.8,4.2,+19.05%,"5.25 to 1",50.07%,19.9%
MRVL,241.45,2026-09-18,22,210.00,Put,5.75,195.00,Put,2.86,207.11,-14.22%,2.89,12.11,+23.86%,"4.19 to 1",50.07%,21.9%
MRVL,241.45,2026-09-18,22,205.00,Put,4.5,195.00,Put,2.86,203.36,-15.78%,1.64,8.36,+19.62%,"5.10 to 1",50.07%,19.3%
MRVL,241.45,2026-09-18,22,210.00,Put,5.75,190.00,Put,2.1,206.35,-14.54%,3.65,16.35,+22.32%,"4.48 to 1",50.07%,21.4%
MRVL,241.45,2026-09-18,22,205.00,Put,4.5,190.00,Put,2.1,202.6,-16.09%,2.4,12.6,+19.05%,"5.25 to 1",50.07%,18.8%
MRVL,241.45,2026-09-18,22,210.00,Put,5.75,185.00,Put,1.62,205.87,-14.74%,4.13,20.87,+19.79%,"5.05 to 1",50.07%,21.0%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,170.00,Put,2.55,190.9,-20.94%,4.1,20.9,+19.62%,"5.10 to 1",50.07%,19.5%
MRVL,241.45,2026-09-18,22,210.00,Put,5.75,180.00,Put,1.2,205.45,-14.91%,4.55,25.45,+17.88%,"5.59 to 1",50.07%,20.7%
MRVL,241.45,2026-09-18,22,205.00,Put,4.5,180.00,Put,1.2,201.7,-16.46%,3.3,21.7,+15.21%,"6.58 to 1",50.07%,18.2%
MRVL,241.45,2026-09-18,22,210.00,Put,5.75,175.00,Put,0.91,205.16,-15.03%,4.84,30.16,+16.05%,"6.23 to 1",50.07%,20.5%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,190.00,Put,5.8,194.15,-19.59%,0.85,4.15,+20.48%,"4.88 to 1",50.07%,21.2%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,185.00,Put,4.8,193.15,-20.00%,1.85,8.15,+22.70%,"4.41 to 1",50.07%,20.7%
MRVL,241.45,2026-10-16,50,190.00,Put,5.5,185.00,Put,4.8,189.3,-21.60%,0.7,4.3,+16.28%,"6.14 to 1",50.07%,18.6%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,180.00,Put,3.95,192.3,-20.36%,2.7,12.3,+21.95%,"4.56 to 1",50.07%,20.2%
MRVL,241.45,2026-10-16,50,190.00,Put,5.5,180.00,Put,3.95,188.45,-21.95%,1.55,8.45,+18.34%,"5.45 to 1",50.07%,18.2%
MRVL,241.45,2026-10-16,50,200.00,Put,7.95,175.00,Put,3.2,195.25,-19.13%,4.75,20.25,+23.46%,"4.26 to 1",50.07%,21.8%
MRVL,241.45,2026-10-16,50,195.00,Put,6.65,175.00,Put,3.2,191.55,-20.67%,3.45,16.55,+20.85%,"4.80 to 1",50.07%,19.8%
MRVL,241.45,2026-10-16,50,200.00,Put,7.95,170.00,Put,2.55,194.6,-19.40%,5.4,24.6,+21.95%,"4.56 to 1",50.07%,21.5%
"Downloaded from Barchart.com as of 08-28-2026 05:30am CDT"
