Symbol,Price~,"Exp Date",Type,Strike,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
GME,21.145,2026-10-30,Call,20,49,"2.00 x 450","2.01 x 333",2,450,bid,90000,1340,135,48.23%,0.64691370846934,AUTO,N/A,"14:47:10 ET"
GME,21.26,2026-10-30,Call,20,49,"1.95 x 135","2.05 x 250",2.05,438,ask,89700,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:48:25 ET"
GME,21.21,2026-12-18,Call,21,98,"2.11 x 272","2.30 x 218",2.11,417,bid,87900,2399,1178,53.00%,0.55283853975569,MLAT,N/A,"09:45:02 ET"
GME,21.1999,2026-10-16,Call,20,35,"1.78 x 49","1.84 x 470",1.84,470,ask,86400,1324,21788,44.94%,0.67980041165127,AUTO,N/A,"09:48:11 ET"
GME,21.21,2026-12-18,Call,21,98,"2.07 x 573","2.30 x 254",2.17,394,mid,85400,2399,1178,53.00%,0.55283853975569,MLET,N/A,"09:45:02 ET"
GME,21.08,2026-09-11,Call,19.5,0,"1.54 x 185","1.77 x 551",1.67,500,mid,83500,3817,5805,100.35%,0.93579957654706,MLET,N/A,"15:57:12 ET"
GME,21.01,2026-09-25,Call,16,14,"4.85 x 162","5.45 x 16",5.15,152,mid,78200,152,93,83.26%,0.96175716285235,MLET,ToOpen,"15:43:38 ET"
GME,21.205,2027-01-15,Put,20,126,"1.46 x 14","1.54 x 114",1.46,500,bid,73000,886,10558,39.65%,-0.364863362,AUTO,N/A,"14:54:07 ET"
GME,21.26,2026-10-30,Call,20,49,"1.95 x 137","2.05 x 125",2.05,350,ask,71700,5560,135,47.68%,0.65964575884533,SLAN,N/A,"14:48:39 ET"
GME,21.26,2026-10-30,Call,20,49,"1.95 x 135","2.05 x 193",2.04,348,mid,70900,5560,135,47.68%,0.65964575884533,SLAN,N/A,"14:47:50 ET"
GME,21.01,2026-09-18,Call,16.5,7,"4.40 x 545","4.90 x 926",4.65,152,mid,70600,153,201,132.85%,0.9196409799171,MLET,N/A,"15:43:38 ET"
GME,21.12,2026-09-18,Call,20,7,"1.19 x 385","1.34 x 10",1.27,550,mid,69800,1752,16230,48.69%,0.79834699570688,AUTO,N/A,"09:37:07 ET"
GME,21.26,2026-10-30,Call,20,49,"1.95 x 135","2.05 x 170",2.04,341,mid,69500,5560,135,47.68%,0.65964575884533,SLAN,N/A,"14:48:11 ET"
GME,20.9523,2026-10-16,Call,19,35,"2.29 x 26","2.35 x 5",2.29,300,bid,68700,1019,9770,43.02%,0.78356511457635,AUTO,N/A,"11:54:50 ET"
GME,21.135,2026-09-18,Call,18,7,"3.00 x 617","3.15 x 14",3.08,217,mid,66800,3210,2674,56.92%,0.98444843889941,MLET,N/A,"15:49:28 ET"
GME,21.135,2026-09-11,Call,18,0,"2.99 x 321","3.15 x 74",3.07,217,mid,66600,3321,3482,400.60%,0.80917066283165,MLET,N/A,"15:49:28 ET"
GME,21.15,2027-01-15,Call,25,126,"1.32 x 500","1.35 x 70",1.32,500,bid,66000,3314,51887,54.68%,0.34242609326743,AUTO,N/A,"15:58:11 ET"
GME,21.0399,2026-09-18,Call,19,7,"1.89 x 671","2.05 x 18",1.96,308,mid,60300,1239,5053,41.61%,0.96772403291284,MLAT,N/A,"14:12:57 ET"
GME,21.0399,2026-09-11,Call,19,0,"1.84 x 690","1.99 x 38",1.91,308,mid,58800,748,4801,71.63%,0.99858551455234,MLAT,N/A,"14:12:57 ET"
GME,21.12,2026-09-18,Call,19,7,"2.01 x 645","2.15 x 1",2.1,280,mid,58800,468,5053,55.49%,0.92181912660693,MLAT,N/A,"09:36:57 ET"
GME,20.995,2026-09-11,Call,20,0,"0.99 x 149","1.02 x 1",1,581,mid,58100,9471,16080,49.72%,0.97166085226272,MLAT,N/A,"14:23:02 ET"
GME,21.16,2026-10-16,Call,18,35,"3.20 x 801","3.30 x 174",3.3,174,ask,57400,217,10127,58.80%,0.83292398784074,AUTO,N/A,"09:34:31 ET"
GME,21.26,2026-10-30,Call,20,49,"2.07 x 275","2.15 x 498",2.07,275,bid,56900,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:49:32 ET"
GME,21.21,2026-12-18,Call,20,98,"2.62 x 70","2.72 x 206",2.67,200,mid,53400,1648,10685,52.78%,0.62236611408357,AUTO,N/A,"09:45:19 ET"
GME,21.26,2026-09-11,Call,19.5,0,"1.62 x 402","1.70 x 5",1.67,310,mid,51700,1679,5805,119.01%,0.92338837577422,MLAT,N/A,"14:50:35 ET"
GME,21.21,2026-12-18,Call,20,98,"2.64 x 169","2.69 x 180",2.69,180,ask,48400,1648,10685,52.78%,0.62236611408357,AUTO,N/A,"09:42:53 ET"
GME,21.26,2026-10-30,Call,20,49,"1.95 x 136","2.05 x 1",2.06,233,ask,47900,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:49:01 ET"
GME,21.135,2026-09-18,Call,18.5,7,"2.46 x 681","2.64 x 420",2.53,188,mid,47500,553,774,48.48%,0.98205667815333,MLAT,N/A,"15:47:41 ET"
GME,21.135,2026-09-11,Call,18.5,0,"2.44 x 391","2.59 x 295",2.51,188,mid,47100,655,2161,190.92%,0.91793836685042,MLAT,N/A,"15:47:41 ET"
GME,21.01,2026-09-18,Call,20,7,"1.10 x 1493","1.20 x 271",1.16,400,mid,46300,9780,16230,41.66%,0.80974141589232,MLET,N/A,"15:45:02 ET"
GME,21.135,2026-09-18,Call,18.5,7,"2.46 x 17","2.64 x 239",2.53,180,mid,45500,553,774,48.48%,0.98205667815333,MLET,N/A,"15:47:40 ET"
GME,20.905,2026-10-16,Call,19,35,"2.25 x 52","2.34 x 53",2.27,200,mid,45400,544,9770,46.50%,0.76378608873964,MLAT,N/A,"11:21:21 ET"
GME,20.92,2026-10-23,Call,19,42,"2.09 x 1","2.84 x 1",2.46,184,mid,45200,184,1721,52.57%,0.72839149347624,MLET,N/A,"09:30:02 ET"
GME,21.135,2026-09-11,Call,18.5,0,"2.44 x 191","2.59 x 82",2.51,180,mid,45100,655,2161,190.92%,0.91793836685042,MLET,N/A,"15:47:40 ET"
GME,21.135,2026-09-18,Call,18,7,"3.00 x 282","3.20 x 106",3.06,146,mid,44600,3210,2674,56.92%,0.98444843889941,MLET,N/A,"15:49:15 ET"
GME,20.965,2026-09-18,Call,21,7,"0.43 x 20","0.47 x 72",0.45,988,mid,44400,10236,9502,43.44%,0.49697792905986,SLAN,N/A,"14:09:54 ET"
GME,20.92,2026-10-16,Call,19,35,"2.14 x 380","2.30 x 1",2.22,200,mid,44400,1249,9770,45.39%,0.76990465847284,MLET,N/A,"12:54:14 ET"
GME,21.205,2027-01-15,Put,20,126,"1.38 x 158","1.46 x 300",1.46,300,ask,43800,886,10558,39.65%,-0.364863362,AUTO,N/A,"14:53:36 ET"
GME,21.175,2026-10-02,Call,20,21,"1.48 x 403","1.59 x 49",1.54,280,mid,43100,1776,3081,44.78%,0.71567904688754,MLET,N/A,"15:25:15 ET"
GME,21.21,2026-12-18,Call,25,98,"1.00 x 111","1.07 x 2",1.03,417,mid,42900,4899,15065,55.19%,0.31905129428463,MLAT,N/A,"09:45:02 ET"
GME,21.025,2026-12-18,Call,21,98,"2.13 x 1","2.18 x 38",2.14,200,mid,42800,5151,1178,51.42%,0.53821238639691,MLET,N/A,"14:33:27 ET"
GME,21.21,2026-12-18,Call,25,98,"1.00 x 111","1.07 x 2",1.02,417,mid,42500,4899,15065,55.19%,0.31905129428463,MLAT,N/A,"09:45:02 ET"
GME,21.215,2026-10-30,Call,20,49,"2.02 x 1","2.21 x 586",2.1,200,mid,42000,5902,135,46.78%,0.65681715427846,AUTO,N/A,"15:02:03 ET"
GME,21.01,2026-09-11,Call,20,0,"0.99 x 2","1.07 x 1531",1.03,400,mid,41200,14234,16080,56.17%,0.95620179589368,MLET,N/A,"15:45:02 ET"
GME,21.08,2026-09-18,Call,20,7,"1.23 x 11","1.28 x 87",1.25,329,mid,41100,10768,16230,42.68%,0.81959675527164,MLET,N/A,"15:53:45 ET"
GME,21.26,2027-06-17,Call,25,279,"2.65 x 155","2.69 x 183",2.65,155,bid,41000,264,1516,56.04%,0.43409333889136,AUTO,N/A,"14:52:01 ET"
GME,20.925,2026-10-16,Call,19,35,"2.26 x 25","2.34 x 119",2.28,180,mid,41000,1463,9770,45.19%,0.77124368280325,MLAT,N/A,"13:47:59 ET"
GME,20.965,2026-12-18,Call,21,98,"2.02 x 196","2.15 x 43",2.11,189,mid,39800,3116,1178,51.13%,0.53353375681118,MLET,N/A,"11:33:32 ET"
GME,20.965,2026-12-18,Call,25,98,"1.00 x 10","1.06 x 56",1.03,378,mid,38900,6732,15065,55.53%,0.30612272925783,MLET,N/A,"11:33:32 ET"
GME,21.26,2026-09-18,Call,21.5,7,"0.37 x 98","0.39 x 389",0.39,981,ask,38200,3466,1388,49.78%,0.44545465731366,AUTO,N/A,"14:47:50 ET"
GME,21.205,2026-10-09,Call,20,28,"1.55 x 2","1.86 x 105",1.7,223,mid,37900,243,387,45.11%,0.69573954755284,MLET,N/A,"10:15:18 ET"
GME,21.205,2026-09-11,Call,19.5,0,"1.63 x 62","1.75 x 62",1.69,223,mid,37600,485,5805,78.69%,0.98138421898729,MLET,N/A,"10:15:18 ET"
GME,21.08,2026-09-11,Call,20,0,"1.09 x 67","1.16 x 156",1.13,329,mid,37100,15009,16080,59.19%,0.95829712008069,MLET,N/A,"15:53:45 ET"
GME,20.92,2026-10-23,Call,20,42,"1.43 x 1","2.18 x 1",1.96,184,mid,36000,184,629,57.76%,0.61972420166707,MLET,N/A,"09:30:02 ET"
GME,21.26,2026-10-30,Call,20,49,"2.07 x 450","2.15 x 583",2.07,174,bid,36000,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:49:28 ET"
GME,21.26,2026-10-30,Put,22.5,49,"1.90 x 516","2.48 x 638",2.16,166,mid,35800,295,0,42.59%,-0.6170298095,MLAT,ToOpen,"14:51:55 ET"
GME,20.92,2026-10-30,Call,20,49,"1.82 x 147","1.89 x 322",1.82,196,bid,35600,633,135,47.15%,0.62515729871724,AUTO,N/A,"12:53:48 ET"
GME,21.185,2026-10-16,Call,22,35,"0.85 x 167","0.88 x 400",0.88,400,ask,35200,1572,21301,47.78%,0.41916251565812,AUTO,N/A,"15:11:25 ET"
GME,21.135,2026-09-18,Call,20.5,7,"0.83 x 517","0.92 x 77",0.87,394,mid,34200,3773,3286,44.76%,0.69665861833325,MLET,N/A,"15:51:35 ET"
GME,21.12,2026-09-18,Call,20,7,"1.17 x 374","1.25 x 20",1.21,280,mid,33800,1752,16230,48.69%,0.79834699570688,MLAT,N/A,"09:36:57 ET"
GME,21.12,2026-10-23,Call,20,42,"1.70 x 137","1.71 x 196",1.7,196,bid,33300,396,629,45.74%,0.65703659593501,AUTO,N/A,"09:37:20 ET"
GME,21.26,2026-10-30,Call,20,49,"2.00 x 1","2.09 x 99",2.05,162,mid,33200,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:50:21 ET"
GME,20.905,2027-01-15,Call,23,126,"1.59 x 139","1.70 x 1",1.66,200,mid,33200,721,7103,52.16%,0.41782593345296,MLAT,N/A,"11:21:21 ET"
GME,21.01,2026-09-18,Call,20,7,"1.10 x 209","1.20 x 271",1.16,285,mid,33000,9780,16230,41.66%,0.80974141589232,MLET,N/A,"15:45:02 ET"
GME,20.92,2027-01-15,Call,23,126,"1.61 x 35","1.70 x 25",1.65,200,mid,33000,977,7103,52.13%,0.41864849973533,MLET,N/A,"12:54:14 ET"
GME,21.21,2026-09-18,Call,22,7,"0.32 x 48","0.35 x 126",0.33,1000,mid,33000,2938,14247,55.82%,0.32901712169388,MLAT,N/A,"09:46:18 ET"
GME,21.1,2026-09-18,Call,20,7,"1.27 x 54","1.28 x 2",1.27,258,bid,32700,3996,16230,45.09%,0.81141871818212,AUTO,N/A,"10:31:21 ET"
GME,21.025,2026-12-18,Call,21,98,"2.13 x 1","2.18 x 38",2.11,154,bid,32400,5151,1178,51.42%,0.53821238639691,MLET,N/A,"14:33:27 ET"
GME,21.025,2026-12-18,Call,21,98,"2.10 x 29","2.18 x 35",2.11,154,mid,32400,5151,1178,51.42%,0.53821238639691,MLET,N/A,"14:33:27 ET"
GME,21.205,2027-01-15,Put,20,126,"1.50 x 14","1.56 x 255",1.51,214,mid,32300,1386,10558,41.28%,-0.3660966822,SLAN,N/A,"15:21:52 ET"
GME,21.21,2026-09-18,Call,19,7,"2.15 x 150","2.25 x 301",2.15,150,bid,32200,642,5053,48.44%,0.95516938261193,MESL,N/A,"09:43:06 ET"
GME,21.135,2026-09-18,Call,20.5,7,"0.83 x 272","0.88 x 5",0.86,370,mid,31800,3773,3286,44.76%,0.69665861833325,MLET,N/A,"15:51:32 ET"
GME,21.025,2026-12-18,Call,25,98,"1.00 x 19","1.05 x 20",1.03,308,mid,31700,11206,15065,55.03%,0.30724964217679,MLET,N/A,"14:33:27 ET"
GME,21.025,2026-12-18,Call,25,98,"1.00 x 17","1.05 x 20",1.03,308,mid,31700,11206,15065,55.03%,0.30724964217679,MLET,N/A,"14:33:27 ET"
GME,20.925,2027-01-15,Call,23,126,"1.64 x 14","1.70 x 3",1.68,180,mid,30200,1178,7103,52.19%,0.41917948699701,MLAT,N/A,"13:47:59 ET"
GME,21.01,2026-09-11,Call,20,0,"0.99 x 2","1.10 x 456",1.03,285,mid,29300,14234,16080,56.17%,0.95620179589368,MLET,N/A,"15:45:02 ET"
GME,21.21,2026-10-16,Call,21,35,"1.29 x 68","1.35 x 90",1.35,214,ask,28800,388,6293,47.48%,0.54730358338996,AUTO,N/A,"09:47:19 ET"
GME,21.08,2026-09-18,Call,21,7,"0.55 x 315","0.59 x 186",0.57,500,mid,28500,13660,9502,45.66%,0.53284920647773,MLET,N/A,"15:57:12 ET"
GME,20.95,2026-09-18,Call,21,7,"0.56 x 1","0.58 x 3",0.57,500,mid,28500,4989,9502,47.12%,0.49470404662028,MLAT,N/A,"10:40:24 ET"
GME,21.08,2026-09-11,Call,19.5,0,"1.56 x 61","1.57 x 182",1.56,182,bid,28300,2153,5805,81.74%,0.96864440306821,AUTO,N/A,"15:32:16 ET"
GME,21.16,2026-09-18,Call,21,7,"0.57 x 532","0.62 x 7",0.61,464,mid,28300,1724,9502,51.40%,0.55325515196167,MLET,N/A,"09:33:29 ET"
GME,20.915,2027-01-15,Call,25,126,"1.29 x 1156","1.30 x 67",1.29,214,bid,27600,1546,51887,55.37%,0.33271488835286,AUTO,N/A,"10:32:49 ET"
GME,21.205,2026-09-18,Call,20,7,"1.36 x 56","1.41 x 26",1.38,199,mid,27400,6923,16230,50.76%,0.80558967552861,MLAT,N/A,"14:57:11 ET"
GME,20.835,2026-10-02,Call,20,21,"1.30 x 50","1.40 x 166",1.34,196,mid,26200,475,3081,45.89%,0.65913349862955,MLET,N/A,"12:42:09 ET"
GME,20.92,2026-10-02,Call,20,21,"1.30 x 600","1.40 x 459",1.3,200,bid,26000,920,3081,45.51%,0.6737864845543,MESL,N/A,"12:53:08 ET"
GME,21.205,2027-01-15,Put,20,126,"1.50 x 14","1.56 x 255",1.5,172,bid,25800,1386,10558,41.28%,-0.3660966822,SLAN,N/A,"15:21:52 ET"
GME,20.925,2026-10-09,Call,20,28,"1.37 x 153","1.57 x 144",1.47,175,mid,25700,564,387,42.51%,0.66377884850245,MLAT,N/A,"13:50:54 ET"
GME,21.135,2026-09-11,Call,20.5,0,"0.61 x 160","0.69 x 530",0.65,394,mid,25600,9673,11450,44.66%,0.90775641398445,MLET,N/A,"15:51:35 ET"
GME,21.205,2026-09-11,Call,20,0,"1.24 x 261","1.30 x 38",1.28,199,mid,25400,10085,16080,98.51%,0.87854806905423,MLAT,N/A,"14:57:11 ET"
GME,21.21,2026-09-18,Call,19.5,7,"1.65 x 27","1.69 x 150",1.69,150,ask,25300,284,2063,55.67%,0.86987953359229,MESL,N/A,"09:43:06 ET"
GME,20.875,2026-10-02,Call,20,21,"1.28 x 89","1.40 x 447",1.31,192,mid,25100,720,3081,44.14%,0.67043534556053,MLET,N/A,"12:52:17 ET"
GME,21.135,2027-01-15,Call,30,126,"0.69 x 25","0.72 x 347",0.72,347,ask,24900,2160,52661,61.55%,0.20354577092178,AUTO,N/A,"15:49:49 ET"
GME,20.925,2026-09-11,Call,19.5,0,"1.35 x 43","1.48 x 221",1.41,175,mid,24600,1065,5805,68.10%,0.97853556647981,MLAT,N/A,"13:50:54 ET"
GME,20.91,2027-01-15,Call,25,126,"1.28 x 185","1.29 x 73",1.29,185,ask,23800,2212,51887,54.50%,0.3282028079619,AUTO,N/A,"13:09:08 ET"
GME,21.135,2026-09-11,Call,20.5,0,"0.60 x 46","0.69 x 215",0.64,370,mid,23600,9673,11450,44.66%,0.90775641398445,MLET,N/A,"15:51:32 ET"
GME,21.26,2026-09-11,Put,22.5,0,"1.19 x 31","1.60 x 771",1.39,166,mid,23000,338,461,103.59%,-0.8478648309,MLAT,N/A,"14:51:55 ET"
GME,21.08,2026-10-09,Call,23,28,"0.48 x 1","0.50 x 200",0.5,434,ask,21700,1129,304,49.77%,0.27979587237926,AUTO,N/A,"15:31:41 ET"
GME,21.12,2026-09-25,Call,20,14,"1.40 x 150","1.50 x 12",1.4,150,bid,21000,321,4554,44.71%,0.74376125331824,AUTO,N/A,"09:36:41 ET"
GME,21.26,2026-09-11,Call,20.5,0,"0.65 x 534","0.69 x 2",0.67,310,mid,20700,7768,11450,39.08%,0.96539596906249,MLAT,N/A,"14:50:35 ET"
GME,21.08,2026-10-09,Call,23,28,"0.50 x 584","0.57 x 446",0.5,408,bid,20400,1129,304,49.77%,0.27979587237926,AUTO,N/A,"15:30:38 ET"
GME,20.935,2028-01-21,Call,50,497,"1.03 x 25","1.04 x 198",1.03,198,bid,20300,330,19639,62.29%,0.17372217686219,AUTO,N/A,"13:00:31 ET"
GME,20.97,2026-09-25,Call,20.5,14,"0.97 x 55","1.03 x 80",1.01,200,mid,20200,280,925,43.88%,0.61535823291041,SLAN,N/A,"11:42:45 ET"
GME,20.97,2026-10-09,Call,21,28,"0.96 x 18","1.06 x 15",1,200,mid,20000,332,479,46.25%,0.51281293242094,MLAT,N/A,"11:46:43 ET"
GME,21.1,2026-09-11,Call,20,0,"1.10 x 25","1.15 x 2",1.12,174,mid,19400,4055,16080,60.04%,0.95885589635156,MLET,N/A,"10:30:10 ET"
GME,20.97,2026-09-11,Call,20,0,"0.92 x 465","0.99 x 5",0.96,200,mid,19200,5451,16080,54.44%,0.95489614731777,MLAT,N/A,"11:46:43 ET"
GME,21.01,2026-09-18,Call,20,7,"1.10 x 209","1.20 x 271",1.15,165,mid,18900,9780,16230,41.66%,0.80974141589232,MLET,N/A,"15:45:02 ET"
GME,21.135,2026-10-16,Call,25,35,"0.37 x 69","0.40 x 3",0.38,499,mid,18900,4611,33229,58.85%,0.19768219178014,AUTO,N/A,"15:48:59 ET"
GME,21.01,2026-09-11,Call,20,0,"0.99 x 2","1.07 x 63",1.02,165,mid,16800,14234,16080,56.17%,0.95620179589368,MLET,N/A,"15:45:02 ET"
GME,20.835,2026-09-18,Call,20,7,"1.09 x 16","1.15 x 96",1.12,150,mid,16800,5025,16230,45.91%,0.74786329311868,MLAT,N/A,"12:38:53 ET"
GME,21.16,2026-09-18,Put,20,7,"0.16 x 1000","0.17 x 268",0.16,1000,bid,16000,1108,8256,46.32%,-0.1834695505,AUTO,N/A,"09:34:02 ET"
GME,20.955,2026-10-09,Call,21,28,"0.96 x 46","1.06 x 13",0.97,162,mid,15700,574,479,45.49%,0.50994730963127,MLET,N/A,"11:48:07 ET"
GME,20.955,2026-09-11,Call,20,0,"0.93 x 66","0.96 x 13",0.93,162,bid,15000,5753,16080,48.11%,0.97076479025711,MLET,N/A,"11:48:07 ET"
GME,20.9,2027-03-19,Call,30,189,"0.93 x 13","1.01 x 422",1.01,147,ask,14800,341,7573,57.33%,0.23371864930064,AUTO,N/A,"11:12:07 ET"
GME,20.925,2026-09-18,Call,20.5,7,"0.71 x 154","0.76 x 183",0.74,200,mid,14800,1498,3286,42.95%,0.64261830714061,MLAT,N/A,"11:30:13 ET"
GME,21.12,2026-09-11,Call,20.5,0,"0.59 x 129","0.65 x 113",0.65,225,ask,14600,2852,11450,37.61%,0.93819935435814,AUTO,N/A,"09:36:30 ET"
GME,21.175,2026-09-11,Call,21,0,"0.16 x 13","0.17 x 846",0.17,846,ask,14300,37633,12856,12.31%,0.90539346677933,AUTO,N/A,"15:24:41 ET"
GME,21.16,2026-09-11,Call,20.5,0,"0.48 x 253","0.67 x 7",0.63,225,mid,14100,2253,11450,59.57%,0.85034036361454,MLET,N/A,"09:31:58 ET"
GME,21.21,2026-10-16,Call,25,35,"0.37 x 65","0.42 x 19",0.4,352,mid,14000,865,33229,58.57%,0.20181751926961,AUTO,N/A,"09:46:10 ET"
GME,20.935,2027-01-15,Call,30,126,"0.66 x 14","0.71 x 225",0.7,195,mid,13600,1322,52661,60.67%,0.19133324267076,SLAN,N/A,"13:03:22 ET"
GME,21.135,2026-09-18,Call,22,7,"0.28 x 350","0.29 x 142",0.28,487,bid,13600,13604,14247,53.30%,0.3032276477076,MLET,N/A,"15:51:53 ET"
GME,21.16,2026-09-11,Call,21,0,"0.23 x 37","0.30 x 42",0.25,545,mid,13600,3811,12856,53.17%,0.61251080195444,AUTO,N/A,"09:31:58 ET"
GME,20.925,2026-09-25,Call,21,14,"0.66 x 73","0.71 x 91",0.68,200,mid,13600,1153,2262,44.56%,0.49530690800327,MLAT,N/A,"11:30:13 ET"
GME,20.955,2027-01-15,Call,30,126,"0.68 x 1","0.70 x 5",0.68,200,bid,13600,942,52661,61.15%,0.19467742770016,SLAN,N/A,"11:50:43 ET"
GME,20.95,2026-09-18,Call,22,7,"0.25 x 176","0.28 x 102",0.27,500,mid,13500,4842,14247,53.55%,0.26399370561035,MLAT,N/A,"10:40:24 ET"
GME,21.205,2026-09-18,Call,21,7,"0.63 x 167","0.65 x 198",0.65,198,ask,12800,4251,9502,48.35%,0.56749086018537,AUTO,N/A,"10:17:31 ET"
GME,21.16,2026-09-18,Call,21,7,"0.60 x 274","0.63 x 200",0.63,200,ask,12600,1724,9502,51.40%,0.55325515196167,AUTO,N/A,"09:34:41 ET"
