Symbol,Name,"Insider Name",Title,Transaction,Shares,@Price,"Trans Total","Shares After",Date
CHYM,"Chime Financial Inc Cl A","Ryan A King",N/A,"Transfer In",34941,0,1207212,116667,2026-09-09
SMWB,"Similarweb Ltd","Or Offer",CEO,Sell,147000,8.1694,1200901,4451291,2026-09-09
PDEX,"Pro-Dex Inc","Richard Lee Van Kirk Jr",CEO,Sell,19235,60.5817,1165289,79993,2026-09-09
STX,"Seagate Technology","Gianluca Romano",CFO,"Sale Post-exercise",1348,862.1336,1162156,29620,2026-09-10
IMAX,"Imax Corp","Robert D Lister",CLO,Sell,22500,51.5812,1160577,182375,2026-09-10
SMBC,"Southern MO Bancorp","Todd E Hensley",N/A,Sell,15600,72.9069,1137348,533740,2026-09-09
IVZ,"Invesco Limited","Stephanie Butcher","Sr.Mng Member","Sale Post-exercise",34682,32.2825,1119621,10205,2026-09-09
STX,"Seagate Technology","Ban Seng Teh","Chf Com Off.",Exercise,1263,0,1118917,6473,2026-09-09
UTHR,"United Therapeutic","Dr. Martine A Rothblatt","Chair & CEO",Exercise,9500,117.76,1118720,668728,2026-09-09
UTHR,"United Therapeutic","Dr. Martine A Rothblatt","Chair & CEO",Exercise,9500,117.76,1118720,668728,2026-09-10
DORM,"Dorman Products Inc","Kevin M Olsen",CEO,Exercise,16446,67.5563,1111031,103770,2026-09-09
