Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
QQQ,717.94,2026-09-10,1,Call,717.00,+0.11%,4.26,4.27,4.28,5479,685,8,19.14%,21.58%,0.594524,"10:00 ET"
SPY,763.96,2026-09-09,0,Call,762.00,+0.23%,2.51,2.51,2.52,6449,856,7.53,13.25%,7.90%,0.7418,"10:00 ET"
GLD,405.15,2026-09-09,0,Put,404.00,-0.27%,1.03,1.15,1.15,947,128,7.4,25.66%,18.03%,-0.400911,"10:00 ET"
SOXL,125.62,2026-09-09,0,Call,128.00,-1.92%,1.63,1.59,1.69,2617,363,7.21,119.34%,76.05%,0.448884,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,721.00,-0.45%,0.65,0.65,0.66,46669,6520,7.16,19.14%,9.89%,0.285296,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,718.00,+0.03%,1.14,1.14,1.15,31675,4746,6.67,19.14%,10.39%,-0.409001,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,717.00,-0.11%,2.3,2.31,2.31,7260,1116,6.51,19.14%,21.08%,-0.403841,"10:00 ET"
QQQ,717.94,2026-09-16,7,Call,715.00,+0.39%,9.95,9.99,10.03,835,131,6.37,19.14%,19.36%,0.593248,"09:59 ET"
SPY,763.96,2026-09-09,0,Put,762.00,-0.23%,0.42,0.43,0.43,39913,6337,6.3,13.25%,7.38%,-0.244526,"10:00 ET"
SPY,763.96,2026-09-09,0,Put,764.00,+0.03%,1.05,1.05,1.06,43770,7045,6.21,13.25%,6.72%,-0.497227,"10:00 ET"
IWM,292.95,2026-09-09,0,Call,292.00,+0.32%,1.18,1.18,1.21,1282,212,6.05,17.95%,10.68%,0.711426,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,764.00,+0.03%,2.18,2.19,2.19,6847,1150,5.95,13.25%,13.76%,-0.497411,"10:00 ET"
SPY,763.96,2026-09-09,0,Call,761.00,+0.37%,3.35,3.36,3.36,2948,496,5.94,13.25%,8.41%,0.81879,"10:00 ET"
EFA,107.25,2026-10-16,37,Put,101.00,-5.82%,0.37,0.38,0.44,7000,1203,5.82,13.97%,17.02%,-0.134647,"09:52 ET"
IWM,292.95,2026-09-09,0,Put,291.00,-0.67%,0.1,0.11,0.11,5794,1013,5.72,17.95%,10.96%,-0.126198,"10:00 ET"
SOXL,125.62,2026-09-09,0,Put,121.00,-3.65%,0.31,0.3,0.33,1102,200,5.51,119.34%,82.97%,-0.117,"09:59 ET"
SPY,763.96,2026-09-09,0,Put,761.00,-0.37%,0.26,0.26,0.27,21370,3975,5.38,13.25%,7.76%,-0.162553,"10:00 ET"
SPY,763.96,2026-09-14,5,Call,745.00,+2.46%,19.68,19.98,20.14,1026,197,5.21,13.25%,16.71%,0.905568,"09:59 ET"
SOXL,125.62,2026-09-09,0,Call,129.00,-2.72%,1.21,1.3,1.29,1423,281,5.06,119.34%,75.45%,0.371329,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,714.00,-0.53%,0.3,0.31,0.31,42552,8924,4.77,19.14%,11.94%,-0.135042,"10:00 ET"
XLE,65.7,2026-09-18,9,Put,64.50,-1.81%,0.59,0.62,0.66,1305,277,4.71,26.38%,26.17%,-0.341001,"09:57 ET"
QQQ,717.94,2026-09-09,0,Call,714.00,+0.53%,5.14,5.14,5.33,2358,502,4.7,19.14%,12.40%,0.856231,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,712.00,-0.81%,0.17,0.18,0.18,9954,2117,4.7,19.14%,13.14%,-0.078706,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,759.00,-0.63%,0.75,0.76,0.76,4940,1072,4.61,13.25%,15.75%,-0.210751,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,762.00,-0.23%,1.45,1.45,1.46,3840,856,4.49,13.25%,14.61%,-0.363218,"10:00 ET"
SPY,763.96,2026-09-17,8,Put,745.00,-2.46%,1.45,1.46,1.47,3331,769,4.33,13.25%,16.77%,-0.147603,"10:00 ET"
SPY,763.96,2026-09-09,0,Call,767.00,-0.42%,0.2,0.21,0.21,25259,5898,4.28,13.25%,7.02%,0.14376,"10:00 ET"
IWM,292.95,2026-09-09,0,Put,292.00,-0.32%,0.24,0.25,0.25,15831,3731,4.24,17.95%,9.71%,-0.270451,"10:00 ET"
QQQ,717.94,2026-09-10,1,Call,716.00,+0.25%,4.92,4.9,4.95,2560,620,4.13,19.14%,21.95%,0.63943,"10:00 ET"
TQQQ,72.02,2026-09-16,7,Call,76.00,-5.60%,0.68,0.7,0.85,531,129,4.12,55.35%,51.50%,0.255771,"09:58 ET"
QQQ,717.94,2026-09-10,1,Call,718.00,-0.03%,3.64,3.65,3.66,5709,1424,4.01,19.14%,21.22%,0.546807,"10:00 ET"
SPY,763.96,2026-09-10,1,Call,766.00,-0.29%,1.38,1.38,1.39,9145,2306,3.97,13.25%,13.99%,0.363668,"10:00 ET"
SQQQ,38.38,2026-09-18,9,Put,37.50,-2.37%,0.93,0.93,1.02,910,230,3.96,57.61%,55.70%,-0.392544,"09:57 ET"
SOXX,531.39,2026-09-18,9,Put,525.00,-1.19%,9.8,12.15,11.8,1501,379,3.96,41.44%,45.01%,-0.390395,"09:38 ET"
TQQQ,72.02,2026-09-11,2,Put,71.50,-0.65%,1.03,1.12,1.14,2195,554,3.96,55.35%,68.37%,-0.402924,"09:58 ET"
QQQ,717.94,2026-09-09,0,Put,711.00,-0.95%,0.13,0.14,0.14,9219,2448,3.77,19.14%,13.74%,-0.060759,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,716.00,-0.25%,1.97,1.99,1.98,4529,1208,3.75,19.14%,21.46%,-0.358049,"10:00 ET"
SPY,763.96,2026-09-11,2,Call,753.00,+1.41%,12.03,12.12,12.26,1412,382,3.7,13.25%,20.75%,0.831248,"10:00 ET"
BOIL,19.11,2026-09-18,9,Put,20.00,+4.55%,1.23,1.27,1.34,1010,277,3.65,72.33%,61.38%,-0.667054,"09:48 ET"
SPY,763.96,2026-09-10,1,Call,761.00,+0.37%,4.32,4.38,4.36,2306,636,3.63,13.25%,15.99%,0.683858,"09:59 ET"
SPY,763.96,2026-09-10,1,Call,765.00,-0.16%,1.83,1.84,1.84,5424,1532,3.54,13.25%,14.34%,0.434121,"10:00 ET"
SPY,763.96,2026-09-14,5,Call,750.00,+1.81%,15.23,15.35,15.39,1100,313,3.51,13.25%,15.49%,0.852447,"10:00 ET"
SOXL,125.62,2026-09-09,0,Call,121.00,+3.65%,6.45,6.64,6.55,634,181,3.5,119.34%,77.16%,0.899171,"09:59 ET"
SOXL,125.62,2026-09-09,0,Put,118.00,-6.04%,0.08,0.13,0.14,1004,291,3.45,119.34%,87.15%,-0.045562,"10:00 ET"
GLD,405.15,2026-09-09,0,Call,407.00,-0.47%,0.7,0.7,0.8,1819,537,3.39,25.66%,18.65%,0.301952,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,714.00,-0.53%,1.43,1.44,1.44,2381,738,3.23,19.14%,22.21%,-0.27675,"10:00 ET"
DIA,524.33,2026-09-11,2,Call,531.00,-1.29%,0.44,0.47,0.51,1011,314,3.22,13.36%,15.98%,0.148866,"09:59 ET"
SPY,763.96,2026-09-14,5,Call,755.00,+1.15%,10.85,10.92,11,1363,437,3.12,13.25%,14.09%,0.772375,"09:59 ET"
QQQ,717.94,2026-09-10,1,Put,722.00,+0.59%,4.75,4.72,4.77,621,201,3.09,19.14%,19.57%,-0.662246,"10:00 ET"
SPY,763.96,2026-10-30,51,Call,776.00,-1.60%,10.45,10.46,10.51,800,264,3.03,13.25%,12.70%,0.411247,"09:49 ET"
SPY,763.96,2026-09-10,1,Call,763.00,+0.10%,2.95,2.96,2.97,1997,669,2.99,13.25%,15.13%,0.568982,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,718.00,+0.03%,2.69,2.69,2.7,4120,1405,2.93,19.14%,20.79%,-0.452872,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,722.00,-0.59%,0.41,0.42,0.42,16893,5919,2.85,19.14%,9.89%,0.201372,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,713.00,-0.67%,1.21,1.2,1.22,1662,590,2.82,19.14%,22.56%,-0.241246,"10:00 ET"
SPY,763.96,2026-09-09,0,Put,759.00,-0.63%,0.11,0.12,0.12,18851,6719,2.81,13.25%,8.78%,-0.073792,"10:00 ET"
SPY,763.96,2026-09-10,1,Call,762.00,+0.23%,3.6,3.63,3.63,793,287,2.76,13.25%,15.51%,0.629802,"09:59 ET"
QQQ,717.94,2026-09-10,1,Call,723.00,-0.72%,1.36,1.36,1.37,3508,1271,2.76,19.14%,19.79%,0.292948,"10:00 ET"
SPY,763.96,2026-09-09,0,Call,768.00,-0.55%,0.11,0.11,0.12,25888,9391,2.76,13.25%,7.31%,0.08631,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,761.00,-0.37%,1.17,1.19,1.18,2660,970,2.74,13.25%,15.00%,-0.305564,"10:00 ET"
QQQ,717.94,2026-09-10,1,Call,720.00,-0.31%,2.57,2.58,2.58,6444,2449,2.63,19.14%,20.61%,0.445477,"10:00 ET"
DRAM,61.8,2026-10-16,37,Call,67.00,-8.40%,3.7,3.75,3.8,2291,883,2.59,69.63%,70.15%,0.419458,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,723.00,+0.72%,5.39,5.39,5.44,566,226,2.5,19.14%,19.30%,-0.713088,"10:00 ET"
TLT,82.26,2026-09-09,0,Call,82.50,-0.30%,0.11,0.1,0.12,24527,9863,2.49,11.31%,13.37%,0.313354,"09:58 ET"
IWM,292.95,2026-09-10,1,Call,293.00,-0.02%,1.17,1.15,1.19,592,240,2.47,17.95%,20.09%,0.489254,"09:58 ET"
QQQ,717.94,2026-09-10,1,Call,715.00,+0.39%,5.63,5.67,5.67,1235,499,2.47,19.14%,22.37%,0.680707,"10:00 ET"
SPY,763.96,2026-09-09,0,Put,765.00,+0.16%,1.58,1.58,1.59,21857,8963,2.44,13.25%,6.43%,-0.650951,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,711.00,+0.95%,7.96,8,8.2,671,280,2.4,19.14%,14.82%,0.924655,"09:59 ET"
QQQ,717.94,2026-09-09,0,Put,719.00,+0.17%,1.56,1.57,1.58,12161,5134,2.37,19.14%,10.15%,-0.511668,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,758.00,-0.76%,0.59,0.59,0.6,2718,1159,2.35,13.25%,16.06%,-0.172174,"10:00 ET"
DRAM,61.8,2026-10-16,37,Put,53.00,-14.25%,1.68,1.78,1.82,801,344,2.33,69.63%,70.67%,-0.200292,"09:54 ET"
IBIT,44.84,2026-09-25,16,Call,49.00,-9.30%,0.38,0.46,0.4,1771,762,2.32,40.28%,44.20%,0.180801,"09:33 ET"
COPX,95.31,2026-10-16,37,Call,105.00,-10.24%,2.25,2.45,2.7,577,254,2.27,46.77%,48.16%,0.291994,"09:55 ET"
SPY,763.96,2026-09-09,0,Put,760.00,-0.50%,0.17,0.17,0.18,29079,13102,2.22,13.25%,8.29%,-0.109944,"10:00 ET"
GLD,405.15,2026-09-09,0,Call,406.00,-0.22%,1.02,1.01,1.09,817,371,2.2,25.66%,18.17%,0.39269,"10:00 ET"
SPY,763.96,2026-09-11,2,Call,756.00,+1.02%,9.42,9.52,9.59,946,434,2.18,13.25%,19.21%,0.774856,"09:59 ET"
SPY,763.96,2026-09-11,2,Call,757.00,+0.89%,8.59,8.68,8.74,1613,754,2.14,13.25%,18.75%,0.751144,"09:59 ET"
SPY,763.96,2026-09-14,5,Call,760.00,+0.50%,6.93,6.94,7.01,1131,535,2.11,13.25%,12.74%,0.6487,"10:00 ET"
SPY,763.96,2026-09-10,1,Call,767.00,-0.42%,1.01,1.02,1.02,5601,2661,2.1,13.25%,13.69%,0.295071,"10:00 ET"
SLV,60.87,2026-09-09,0,Put,61.00,+0.26%,0.4,0.49,0.45,840,410,2.05,45.69%,31.00%,-0.523273,"09:59 ET"
QQQ,717.94,2026-09-10,1,Call,719.00,-0.17%,3.07,3.08,3.09,4200,2056,2.04,19.14%,20.87%,0.496793,"10:00 ET"
SOXL,125.62,2026-09-09,0,Call,127.00,-1.12%,2.11,2.14,2.16,676,334,2.02,119.34%,76.15%,0.527897,"10:00 ET"
USO,148.49,2026-09-09,0,Call,149.00,-0.32%,0.67,0.74,0.81,947,468,2.02,46.37%,31.80%,0.418567,"09:59 ET"
SLV,60.87,2026-09-18,9,Put,57.50,-5.49%,0.49,0.52,0.52,2556,1304,1.96,45.69%,46.13%,-0.198458,"09:56 ET"
DIA,524.33,2026-09-18,9,Put,511.00,-2.53%,1.18,1.2,1.24,570,300,1.9,13.36%,17.26%,-0.160001,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,713.00,+0.67%,6.05,6.1,6.27,881,463,1.9,19.14%,13.09%,0.887581,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,756.00,-1.02%,0.37,0.38,0.38,2329,1229,1.9,13.25%,16.81%,-0.114208,"10:00 ET"
QQQ,717.94,2026-09-11,2,Put,717.00,-0.11%,3.79,3.82,3.81,4726,2499,1.89,19.14%,22.21%,-0.431615,"10:00 ET"
TLT,82.26,2026-09-23,14,Call,82.00,+0.30%,0.9,0.93,0.91,501,270,1.86,11.31%,11.79%,0.563346,"09:50 ET"
GDXJ,130.13,2026-09-11,2,Call,137.00,-5.37%,0.32,0.58,0.7,656,362,1.81,50.59%,67.69%,0.153654,"09:51 ET"
GLD,405.15,2027-01-15,128,Put,279.00,-31.13%,0.62,0.64,0.72,539,302,1.78,25.66%,33.62%,-0.021015,"09:44 ET"
GDX,100.09,2026-09-18,9,Call,114.00,-13.92%,0.25,0.33,0.38,1001,568,1.76,47.37%,56.92%,0.080382,"09:38 ET"
QQQ,717.94,2026-09-16,7,Put,685.00,-4.57%,0.95,1.01,0.98,641,368,1.74,19.14%,25.63%,-0.081908,"09:55 ET"
SPY,763.96,2026-09-17,8,Put,700.00,-8.35%,0.2,0.22,0.21,981,566,1.73,13.25%,28.44%,-0.017397,"09:39 ET"
SPY,763.96,2026-09-10,1,Put,757.00,-0.89%,0.47,0.48,0.48,1540,893,1.72,13.25%,16.46%,-0.140913,"10:00 ET"
IWM,292.95,2026-09-25,16,Put,280.00,-4.42%,1.24,1.29,1.28,4004,2351,1.7,17.95%,23.08%,-0.16444,"09:58 ET"
SOXL,125.62,2026-09-09,0,Call,124.00,+1.27%,3.95,4.21,4.15,613,368,1.67,119.34%,77.63%,0.746045,"09:59 ET"
QQQ,717.94,2026-09-10,1,Put,715.00,-0.39%,1.68,1.7,1.69,3591,2148,1.67,19.14%,21.83%,-0.315559,"10:00 ET"
EFA,107.25,2026-10-16,37,Put,106.00,-1.16%,1.14,1.24,1.34,3500,2140,1.64,13.97%,12.71%,-0.393708,"09:52 ET"
QQQ,717.94,2026-09-10,1,Put,712.00,-0.81%,1.03,1.05,1.04,1244,762,1.63,19.14%,22.99%,-0.210138,"10:00 ET"
SOXL,125.62,2026-09-09,0,Put,122.00,-2.86%,0.45,0.45,0.46,655,411,1.59,119.34%,82.22%,-0.156759,"10:00 ET"
SPY,763.96,2026-09-11,2,Call,754.00,+1.28%,11.14,11.23,11.36,1110,701,1.58,13.25%,20.23%,0.814519,"10:00 ET"
SPY,763.96,2026-09-09,0,Call,760.00,+0.50%,4.24,4.29,4.27,1423,918,1.55,13.25%,8.99%,0.871565,"10:00 ET"
QQQ,717.94,2026-09-10,1,Call,721.00,-0.45%,2.11,2.12,2.12,1458,942,1.55,19.14%,20.31%,0.393626,"10:00 ET"
IWM,292.95,2026-09-10,1,Call,294.00,-0.36%,0.72,0.7,0.73,999,661,1.51,17.95%,19.50%,0.358729,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,723.00,-0.72%,0.25,0.25,0.26,8597,5751,1.49,19.14%,9.95%,0.135869,"10:00 ET"
IWM,292.95,2026-09-09,0,Put,294.00,+0.36%,1.22,1.27,1.25,4701,3168,1.48,17.95%,8.24%,-0.812198,"10:00 ET"
QQQ,717.94,2026-09-16,7,Call,720.00,-0.31%,6.96,7,7.03,514,349,1.47,19.14%,18.50%,0.489467,"09:59 ET"
QQQ,717.94,2026-09-10,1,Put,719.00,+0.17%,3.12,3.14,3.14,1437,975,1.47,19.14%,20.47%,-0.504008,"10:00 ET"
QQQ,717.94,2026-09-10,1,Put,725.00,+1.00%,6.85,6.88,6.9,1035,726,1.43,19.14%,18.71%,-0.80636,"10:00 ET"
SPY,763.96,2026-09-10,1,Call,769.00,-0.68%,0.49,0.5,0.5,2849,1998,1.43,13.25%,13.20%,0.174749,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,712.00,+0.81%,7,7.01,7.24,805,567,1.42,19.14%,14.04%,0.90727,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,710.00,-1.09%,0.1,0.11,0.11,11255,7978,1.41,19.14%,14.35%,-0.047187,"10:00 ET"
SPY,763.96,2026-09-11,2,Call,745.00,+2.46%,19.5,19.58,19.81,871,628,1.39,13.25%,25.27%,0.913252,"10:00 ET"
BOIL,19.11,2026-09-18,9,Call,20.50,-7.16%,0.26,0.3,0.3,608,450,1.35,72.33%,63.76%,0.256073,"09:53 ET"
QQQ,717.94,2026-09-10,1,Call,728.00,-1.42%,0.34,0.33,0.35,923,683,1.35,19.14%,18.89%,0.102404,"09:59 ET"
QQQ,717.94,2026-09-09,0,Put,720.00,+0.31%,2.1,2.11,2.11,7536,5563,1.35,19.14%,9.93%,-0.61837,"10:00 ET"
SOXL,125.62,2026-09-09,0,Call,130.00,-3.51%,0.91,0.9,0.95,1831,1410,1.3,119.34%,75.49%,0.29977,"10:00 ET"
IWM,292.95,2026-09-10,1,Put,292.00,-0.32%,0.78,0.79,0.79,3749,2882,1.3,17.95%,19.33%,-0.37883,"10:00 ET"
GLD,405.15,2026-09-09,0,Put,399.00,-1.51%,0.14,0.18,0.2,644,508,1.27,25.66%,20.76%,-0.084599,"09:58 ET"
IWM,292.95,2026-09-10,1,Put,293.00,+0.02%,1.18,1.22,1.2,1161,931,1.25,17.95%,18.61%,-0.512489,"10:00 ET"
"Downloaded from Barchart.com as of 09-09-2026 09:30am CDT"
